spacecraft,crossing_time_UT
MMS1,2019-01-27 06:15:00
MMS1,2019-01-27 06:15:10
MMS1,2019-01-27 06:15:20
MMS1,2019-01-27 06:15:31
MMS1,2019-01-27 06:15:41
MMS1,2019-01-27 06:15:51
MMS1,2019-01-27 06:16:01
MMS1,2019-01-27 06:16:11
MMS1,2019-01-27 06:16:21
MMS1,2019-01-27 06:16:31
MMS1,2019-01-27 06:16:41
MMS1,2019-01-27 06:16:52
MMS1,2019-01-27 06:18:09
MMS1,2019-01-27 06:18:19
MMS1,2019-01-27 06:18:30
MMS1,2019-01-27 06:18:40
MMS1,2019-01-27 06:18:50
MMS1,2019-01-27 06:19:00
MMS1,2019-01-27 06:19:10
MMS1,2019-01-27 06:19:20
MMS1,2019-01-27 06:19:30
MMS1,2019-01-27 06:19:44
MMS1,2019-01-27 06:19:54
MMS1,2019-01-27 06:20:04
MMS1,2019-01-27 06:20:14
MMS1,2019-01-27 06:20:30
MMS1,2019-01-27 06:20:40
MMS1,2019-01-27 06:20:51
MMS1,2019-01-27 06:21:03
MMS1,2019-01-27 06:21:13
MMS1,2019-01-27 06:21:35
MMS1,2019-01-27 06:23:31
MMS1,2019-01-27 06:29:23
MMS1,2019-01-27 06:30:41
MMS1,2019-01-27 06:32:21
MMS1,2019-01-27 06:41:43
MMS1,2019-01-27 06:43:20
MMS1,2019-01-27 06:43:30
MMS1,2019-01-27 06:43:40
MMS1,2019-01-27 06:43:50
MMS1,2019-01-27 06:44:00
MMS1,2019-01-27 06:44:10
MMS1,2019-01-27 06:44:20
MMS1,2019-01-27 06:44:31
MMS1,2019-01-27 06:44:41
MMS1,2019-01-27 06:44:52
MMS1,2019-01-27 06:45:02
MMS1,2019-01-27 06:45:16
