set,probe,type,time_utc,rN_km
all_1243,1,MP_boundary,2019-01-27T12:15:26+00:00,-10441.716447941322
all_1243,1,MP_boundary,2019-01-27T12:16:04+00:00,-10436.513444124841
all_1243,1,MP_boundary,2019-01-27T12:16:40+00:00,-10431.279187871362
all_1243,1,MP_boundary,2019-01-27T12:18:15+00:00,-10410.028973984634
all_1243,1,MP_boundary,2019-01-27T12:18:57+00:00,-10404.638354827135
all_1243,1,MP_boundary,2019-01-27T12:19:29+00:00,-10399.216428166194
all_1243,1,MP_boundary,2019-01-27T12:20:38+00:00,-10388.279241161894
all_1243,1,MP_boundary,2019-01-27T12:21:10+00:00,-10382.764060471825
all_1243,1,MP_boundary,2019-01-27T12:30:50+00:00,-10265.98161473859
all_1243,1,MP_boundary,2019-01-27T12:43:28+00:00,-10102.936410626135
all_1243,1,MP_boundary,2019-01-27T12:44:20+00:00,-10089.088169099316
all_1243,1,MP_boundary,2019-01-27T12:45:10+00:00,-10082.119876465556
all_1243,1,MP_boundary,2019-01-27T12:45:44+00:00,-10075.122130852184
all_1243,1,MP_boundary,2019-01-27T12:46:52+00:00,-10053.95278838212
all_1243,1,MP_boundary,2019-01-27T12:47:28+00:00,-10046.837809951337
all_1243,2,MP_boundary,2019-01-27T12:15:25+00:00,-5185.255127790403
all_1243,2,MP_boundary,2019-01-27T12:16:17+00:00,-5183.075154664273
all_1243,2,MP_boundary,2019-01-27T12:18:23+00:00,-5178.383340231361
all_1243,2,MP_boundary,2019-01-27T12:19:02+00:00,-5177.141497457483
all_1243,2,MP_boundary,2019-01-27T12:19:32+00:00,-5175.8721083765395
all_1243,2,MP_boundary,2019-01-27T12:20:32+00:00,-5173.251061598624
all_1243,2,MP_boundary,2019-01-27T12:21:06+00:00,-5171.89948702454
all_1243,2,MP_boundary,2019-01-27T12:43:25+00:00,-5083.366925638492
all_1243,2,MP_boundary,2019-01-27T12:43:58+00:00,-5080.798367986052
all_1243,2,MP_boundary,2019-01-27T12:44:48+00:00,-5075.584910368571
all_1243,2,MP_boundary,2019-01-27T12:45:36+00:00,-5072.9400463879465
all_1243,2,MP_boundary,2019-01-27T12:47:20+00:00,-5062.1077662183225
all_1243,3,MP_boundary,2019-01-27T12:15:30+00:00,-3396.6333480500853
all_1243,3,MP_boundary,2019-01-27T12:16:01+00:00,-3396.3637818436546
all_1243,3,MP_boundary,2019-01-27T12:16:38+00:00,-3396.0679160571085
all_1243,3,MP_boundary,2019-01-27T12:18:00+00:00,-3395.0226260627533
all_1243,3,MP_boundary,2019-01-27T12:18:53+00:00,-3394.194728177232
all_1243,3,MP_boundary,2019-01-27T12:19:23+00:00,-3393.7415670583187
all_1243,3,MP_boundary,2019-01-27T12:19:57+00:00,-3393.2622890222015
all_1243,3,MP_boundary,2019-01-27T12:21:15+00:00,-3391.668248780754
all_1243,3,MP_boundary,2019-01-27T12:30:54+00:00,-3376.1961987081613
all_1243,3,MP_boundary,2019-01-27T12:43:16+00:00,-3342.0409493859784
all_1243,3,MP_boundary,2019-01-27T12:44:12+00:00,-3340.356963744635
all_1243,3,MP_boundary,2019-01-27T12:44:45+00:00,-3336.916831212363
all_1243,3,MP_boundary,2019-01-27T12:45:36+00:00,-3335.1608252662745
all_1243,3,MP_boundary,2019-01-27T12:46:37+00:00,-3331.577078065219
all_1243,3,MP_boundary,2019-01-27T12:47:55+00:00,-3326.0229068838544
all_1243,3,MP_boundary,2019-01-27T12:48:29+00:00,-3324.124138736355
all_1243,4,MP_boundary,2019-01-27T12:15:27+00:00,-12065.350188931523
all_1243,4,MP_boundary,2019-01-27T12:16:04+00:00,-12058.608865661854
all_1243,4,MP_boundary,2019-01-27T12:16:34+00:00,-12051.83514848607
all_1243,4,MP_boundary,2019-01-27T12:18:09+00:00,-12031.31972697596
all_1243,4,MP_boundary,2019-01-27T12:18:56+00:00,-12017.481470661567
all_1243,4,MP_boundary,2019-01-27T12:19:28+00:00,-12010.51396173051
all_1243,4,MP_boundary,2019-01-27T12:20:00+00:00,-12003.514287784616
all_1243,4,MP_boundary,2019-01-27T12:20:33+00:00,-11996.48257593195
all_1243,4,MP_boundary,2019-01-27T12:21:09+00:00,-11989.418722988692
all_1243,4,MP_boundary,2019-01-27T12:30:35+00:00,-11849.139939318402
all_1243,4,MP_boundary,2019-01-27T12:43:27+00:00,-11638.78763989326
all_1243,4,MP_boundary,2019-01-27T12:44:19+00:00,-11621.740528491955
all_1243,4,MP_boundary,2019-01-27T12:46:05+00:00,-11595.94044530706
all_1243,4,MP_boundary,2019-01-27T12:46:41+00:00,-11587.279404586112
all_1243,4,MP_boundary,2019-01-27T12:47:33+00:00,-11569.865921468258
