set,probe,type,time_utc,rN_km
mixed_1230_1243,1,MP_boundary,2019-01-27T12:15:26+00:00,-10441.716447941322
mixed_1230_1243,1,MP_boundary,2019-01-27T12:16:04+00:00,-10436.513444124841
mixed_1230_1243,1,MP_boundary,2019-01-27T12:16:40+00:00,-10431.279187871362
mixed_1230_1243,1,MP_boundary,2019-01-27T12:18:15+00:00,-10410.028973984634
mixed_1230_1243,1,MP_boundary,2019-01-27T12:18:57+00:00,-10404.638354827135
mixed_1230_1243,1,MP_boundary,2019-01-27T12:19:29+00:00,-10399.216428166194
mixed_1230_1243,1,MP_boundary,2019-01-27T12:20:38+00:00,-10388.279241161894
mixed_1230_1243,1,MP_boundary,2019-01-27T12:21:10+00:00,-10382.764060471825
mixed_1230_1243,1,MP_boundary,2019-01-27T12:30:50+00:00,-10265.98161473859
mixed_1230_1243,1,MP_boundary,2019-01-27T12:43:28+00:00,-10102.936410626135
mixed_1230_1243,1,MP_boundary,2019-01-27T12:44:20+00:00,-10089.088169099316
mixed_1230_1243,1,MP_boundary,2019-01-27T12:45:10+00:00,-10082.119876465556
mixed_1230_1243,1,MP_boundary,2019-01-27T12:45:44+00:00,-10075.122130852184
mixed_1230_1243,1,MP_boundary,2019-01-27T12:46:52+00:00,-10053.95278838212
mixed_1230_1243,1,MP_boundary,2019-01-27T12:47:28+00:00,-10046.837809951337
mixed_1230_1243,2,MP_boundary,2019-01-27T12:15:25+00:00,-5185.255127790403
mixed_1230_1243,2,MP_boundary,2019-01-27T12:16:17+00:00,-5183.075154664273
mixed_1230_1243,2,MP_boundary,2019-01-27T12:18:23+00:00,-5178.383340231361
mixed_1230_1243,2,MP_boundary,2019-01-27T12:19:02+00:00,-5177.141497457483
mixed_1230_1243,2,MP_boundary,2019-01-27T12:19:32+00:00,-5175.8721083765395
mixed_1230_1243,2,MP_boundary,2019-01-27T12:20:32+00:00,-5173.251061598624
mixed_1230_1243,2,MP_boundary,2019-01-27T12:21:06+00:00,-5171.89948702454
mixed_1230_1243,2,MP_boundary,2019-01-27T12:43:25+00:00,-5083.366925638492
mixed_1230_1243,2,MP_boundary,2019-01-27T12:43:58+00:00,-5080.798367986052
mixed_1230_1243,2,MP_boundary,2019-01-27T12:44:48+00:00,-5075.584910368571
mixed_1230_1243,2,MP_boundary,2019-01-27T12:45:36+00:00,-5072.9400463879465
mixed_1230_1243,2,MP_boundary,2019-01-27T12:47:20+00:00,-5062.1077662183225
mixed_1230_1243,3,MP_boundary,2019-01-27T12:15:30+00:00,5923.576308664859
mixed_1230_1243,3,MP_boundary,2019-01-27T12:16:01+00:00,5915.202500550249
mixed_1230_1243,3,MP_boundary,2019-01-27T12:16:38+00:00,5906.848499774969
mixed_1230_1243,3,MP_boundary,2019-01-27T12:18:00+00:00,5881.9063808841365
mixed_1230_1243,3,MP_boundary,2019-01-27T12:18:53+00:00,5865.377144942426
mixed_1230_1243,3,MP_boundary,2019-01-27T12:19:23+00:00,5857.14211514533
mixed_1230_1243,3,MP_boundary,2019-01-27T12:19:57+00:00,5848.926675007749
mixed_1230_1243,3,MP_boundary,2019-01-27T12:21:15+00:00,5824.398086678216
mixed_1230_1243,3,MP_boundary,2019-01-27T12:30:54+00:00,5673.058102230046
mixed_1230_1243,3,MP_boundary,2019-01-27T12:43:16+00:00,5484.0242312692435
mixed_1230_1243,3,MP_boundary,2019-01-27T12:44:12+00:00,5476.69088408641
mixed_1230_1243,3,MP_boundary,2019-01-27T12:44:45+00:00,5462.07532088416
mixed_1230_1243,3,MP_boundary,2019-01-27T12:45:24+00:00,5454.792912726631
mixed_1230_1243,3,MP_boundary,2019-01-27T12:46:37+00:00,5440.2787211448085
mixed_1230_1243,3,MP_boundary,2019-01-27T12:47:55+00:00,5418.632797111836
mixed_1230_1243,3,MP_boundary,2019-01-27T12:48:29+00:00,5411.4507334283035
mixed_1230_1243,4,MP_boundary,2019-01-27T12:15:27+00:00,22548.825238055473
mixed_1230_1243,4,MP_boundary,2019-01-27T12:16:04+00:00,22527.244674192876
mixed_1230_1243,4,MP_boundary,2019-01-27T12:16:34+00:00,22505.670814960853
mixed_1230_1243,4,MP_boundary,2019-01-27T12:18:09+00:00,22440.990774017922
mixed_1230_1243,4,MP_boundary,2019-01-27T12:18:56+00:00,22397.90481723179
mixed_1230_1243,4,MP_boundary,2019-01-27T12:19:27+00:00,22376.37135122615
mixed_1230_1243,4,MP_boundary,2019-01-27T12:20:00+00:00,22354.844614075588
mixed_1230_1243,4,MP_boundary,2019-01-27T12:21:09+00:00,22311.81090344207
mixed_1230_1243,4,MP_boundary,2019-01-27T12:30:35+00:00,21904.17463740434
mixed_1230_1243,4,MP_boundary,2019-01-27T12:43:27+00:00,21349.19885856172
mixed_1230_1243,4,MP_boundary,2019-01-27T12:44:17+00:00,21306.612378523863
mixed_1230_1243,4,MP_boundary,2019-01-27T12:46:05+00:00,21242.754332682583
mixed_1230_1243,4,MP_boundary,2019-01-27T12:47:01+00:00,21200.196042304113
mixed_1230_1243,4,MP_boundary,2019-01-27T12:47:33+00:00,21178.920792704368
