probe,quantity,mae,rmse,correlation,max_abs_diff,n_samples,n_gaps,coverage_fraction
1,BN_hybrid,395.2186262989036,1421.2179213544266,0.7979060341413559,9422.072579202086,86403,0,1.0
1,BL_direct,0.42469716761915405,0.8669685995985871,0.9926375395762101,9.967929936757182,2401,0,1.0
1,BM_direct,0.3335145441485905,0.6802697315350676,0.9925380456430661,5.5372325722738145,2401,0,1.0
1,BN_direct,0.33335718105536255,0.9066582754897504,0.9978135042120065,15.006499901910974,2401,0,1.0
1,VN,21.667593997451867,29.954366373996315,,133.1821223372609,2401,0,1.0
1,DN,4538.841639855381,4942.842540816887,,7122.532717863029,562,0,1.0
2,BN_hybrid,355.8056777778817,1249.658159482511,0.8630226935337525,8258.545015463074,86402,0,1.0
2,BL_direct,0.46042061100911885,0.9748539391563392,0.9899785443727889,15.628878610071208,2401,0,1.0
2,BM_direct,0.35958021160587983,0.7437485405474165,0.9895396189191868,6.847844992649671,2401,0,1.0
2,BN_direct,0.354101641903292,0.9643512146540522,0.997567322639204,13.179993096041262,2401,0,1.0
2,VN,21.798560496141096,30.61885129631849,,114.94782826282895,2401,0,1.0
2,DN,5467.879831703906,6513.216332840875,,14777.339343945645,1323,0,1.0
3,BN_hybrid,351.8075567917024,1232.8486243142986,0.8728847824047246,8060.101737266214,86395,0,1.0
3,BL_direct,0.5101804357772407,0.9547621652803034,0.9905646591331752,8.77698142435895,2401,0,1.0
3,BM_direct,0.4173981332668007,0.7934077486558925,0.9898869697685743,7.935977897804441,2401,0,1.0
3,BN_direct,0.40952355471887125,1.0205511538542709,0.9976336989003347,10.884246528185844,2401,0,1.0
3,VN,26.580468274147435,36.52316742087943,3.130012963415312e-16,146.51450803130575,2401,0,1.0
3,DN,2373.335425270989,2745.333697996647,,5170.086377435078,327,0,1.0
4,BN_hybrid,396.5210040161779,1422.197978369892,0.7898518302039705,9304.415061031465,86395,0,1.0
4,BL_direct,0.45456448615085726,0.9637423801697342,0.9914236803860638,15.166508523924985,2401,0,1.0
4,BM_direct,0.3746123078146748,0.765305310124754,0.9911375597394289,8.226513629740275,2401,0,1.0
4,BN_direct,0.3589399550906113,0.9264012031882114,0.997804627708433,12.813805724521089,2401,0,1.0
4,VN,21.795673809449266,30.24920251372345,-2.620804176857028e-16,123.27204753083655,2401,0,1.0
4,DN,3988.8766445771707,4414.731173725384,,6412.628709872114,545,0,1.0
