t,B_L,B_M,B_N,Vn_i,Vn_e,Vn_he
2019-01-27 12:15:00.020,17.58114,-13.031277,-6.158277,-36.437588,-20.937868,
2019-01-27 12:15:00.083,17.698404,-13.051453,-6.2940016,-21.925533,-33.375587,
2019-01-27 12:15:00.145,17.841799,-12.867667,-6.2648516,-32.03329,-31.75628,
2019-01-27 12:15:00.208,17.779947,-12.78319,-6.6346674,-38.473286,-28.16076,
2019-01-27 12:15:00.270,17.971828,-12.664504,-7.1030154,-65.37755,-56.466652,
2019-01-27 12:15:00.333,18.129265,-12.346959,-7.4050508,-71.04909,-70.50092,
2019-01-27 12:15:00.395,18.168081,-12.540474,-7.048706,-65.2759,-62.114582,
2019-01-27 12:15:00.458,18.34178,-12.50669,-6.6062126,-62.010853,-64.16031,
2019-01-27 12:15:00.520,18.752855,-12.129587,-6.593014,-73.333755,-69.8918,
2019-01-27 12:15:00.583,18.735828,-12.228934,-6.3497663,-97.242676,-82.593185,
2019-01-27 12:15:00.645,20.242737,-12.871105,-6.486191,-105.299736,-109.279755,
2019-01-27 12:15:00.708,21.417675,-13.133323,-6.1170716,-112.19945,-106.207214,
2019-01-27 12:15:00.770,21.149199,-12.777649,-5.151908,-114.37175,-110.79105,
2019-01-27 12:15:00.833,21.518167,-12.662436,-5.2914867,-105.64629,-96.65009,
2019-01-27 12:15:00.895,21.69291,-12.654099,-5.0634418,-81.63916,-82.70962,
2019-01-27 12:15:00.958,21.627003,-12.373473,-4.435864,-79.13561,-83.11264,
2019-01-27 12:15:01.020,21.82804,-12.0594225,-4.209816,-81.55678,-71.287285,
2019-01-27 12:15:01.083,21.626038,-12.00352,-4.091418,-86.168396,-70.82323,
2019-01-27 12:15:01.145,21.45767,-12.16028,-4.274689,-79.49197,-79.95376,
2019-01-27 12:15:01.208,22.00647,-12.802186,-4.6547375,-93.780464,-100.03475,
2019-01-27 12:15:01.270,22.304108,-12.789649,-4.2303557,-97.61311,-75.91759,
2019-01-27 12:15:01.333,21.569569,-12.143264,-3.1786768,-113.80965,-128.6062,
2019-01-27 12:15:01.395,21.01514,-11.318519,-1.8002055,-96.174446,-88.67511,
2019-01-27 12:15:01.458,20.171465,-10.571126,-1.7516655,-98.47351,-99.258354,
2019-01-27 12:15:01.520,19.806417,-11.035259,-2.1633074,-100.76633,-100.06255,
2019-01-27 12:15:01.583,19.447033,-11.2712755,-2.4080057,-66.002,-41.844227,
2019-01-27 12:15:01.645,19.497961,-11.532963,-2.9511724,-51.820923,-43.293774,
2019-01-27 12:15:01.708,19.681604,-11.919538,-3.4910002,-31.536816,-24.66415,
2019-01-27 12:15:01.770,19.864496,-12.333088,-3.8780773,-19.448566,-11.177366,
2019-01-27 12:15:01.833,19.87352,-13.379253,-4.404572,1.4933127,23.021563,
2019-01-27 12:15:01.895,19.402248,-13.516491,-4.5249987,20.685556,22.55241,
2019-01-27 12:15:01.958,18.75523,-13.274243,-4.550097,18.083447,22.780188,
2019-01-27 12:15:02.020,18.110477,-13.752757,-4.6283402,20.60532,51.986,
2019-01-27 12:15:02.083,17.951216,-14.384325,-4.719668,48.84056,59.5763,
2019-01-27 12:15:02.145,18.057947,-14.986445,-4.524282,73.39349,86.541794,
2019-01-27 12:15:02.208,18.518688,-15.267092,-3.9513862,84.7416,129.82658,
2019-01-27 12:15:02.270,18.430906,-14.856324,-3.909236,88.34295,57.04562,
2019-01-27 12:15:02.333,18.354265,-14.528845,-3.9641814,66.57472,50.908222,
2019-01-27 12:15:02.395,18.332977,-14.30084,-3.9327655,-13.655577,25.762926,
2019-01-27 12:15:02.458,18.214203,-14.274002,-3.8123536,-23.359867,13.957943,
