species,probe,candidate_or_dist_var,energy_var,energy_info,status,t_start_UT,t_end_UT,n_times,overlaps_window,match_confidence
dis,1,mms1_dis_energyspectr_omni_brst,,,OMNI_COVERAGE,2019-01-27 12:15:00,2019-01-27 12:45:22,6083.0,Y,high
dis,1,mms1_dis_energyspectr_omni_brst,,32bins,COVERAGE,2019-01-27 12:15:00,2019-01-27 12:45:22,6083.0,Y,high
dis,2,mms2_dis_energyspectr_omni_srvy,,,NOT_FOUND,,,,,medium
dis,2,,,,NOT_FOUND,,,,,
dis,2,,,,MISSING_DIST_OR_ENERGY,,,,,
dis,3,mms3_dis_energyspectr_omni_srvy,,,NOT_FOUND,,,,,medium
dis,3,,,,NOT_FOUND,,,,,
dis,3,,,,MISSING_DIST_OR_ENERGY,,,,,
dis,4,mms4_dis_energyspectr_omni_srvy,,,NOT_FOUND,,,,,medium
dis,4,,,,NOT_FOUND,,,,,
dis,4,,,,MISSING_DIST_OR_ENERGY,,,,,
des,1,mms1_des_energyspectr_omni_srvy,,,NOT_FOUND,,,,,medium
des,1,,,,NOT_FOUND,,,,,
des,1,,,,MISSING_DIST_OR_ENERGY,,,,,
des,2,mms2_des_energyspectr_omni_srvy,,,NOT_FOUND,,,,,medium
des,2,,,,NOT_FOUND,,,,,
des,2,,,,MISSING_DIST_OR_ENERGY,,,,,
des,3,mms3_des_energyspectr_omni_srvy,,,NOT_FOUND,,,,,medium
des,3,,,,NOT_FOUND,,,,,
des,3,,,,MISSING_DIST_OR_ENERGY,,,,,
des,4,mms4_des_energyspectr_omni_srvy,,,NOT_FOUND,,,,,medium
des,4,,,,NOT_FOUND,,,,,
des,4,,,,MISSING_DIST_OR_ENERGY,,,,,
